system:index,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,B8A_median,B8_median,date,name,.geo
0_134,4074.5,4133.5,3996.0,4248.0,5009.5,5547.0,5630.0,5472.0,2024-01,Location_135,"{""type"":""Point"",""coordinates"":[110.643314,-7.086841999999999]}"
0_135,3979.5,3793.5,3516.0,3926.5,4564.5,5054.0,5029.5,5040.0,2024-01,Location_136,"{""type"":""Point"",""coordinates"":[110.648469,-7.081647000000001]}"
0_136,6312.5,6154.0,5962.5,6227.5,6380.5,6523.0,6562.5,6770.0,2024-01,Location_137,"{""type"":""Point"",""coordinates"":[110.654539,-7.078456]}"
0_137,6476.5,6291.0,6106.5,6387.0,6497.0,6630.5,6649.0,6934.0,2024-01,Location_138,"{""type"":""Point"",""coordinates"":[110.65971700000001,-7.0745190000000004]}"
0_138,6995.5,6753.5,6554.5,6917.5,6861.5,6899.5,6889.0,7210.5,2024-01,Location_139,"{""type"":""Point"",""coordinates"":[110.672519,-7.063556]}"
0_139,6562.5,6408.5,6271.0,6609.5,6738.0,6811.0,6799.0,7133.0,2024-01,Location_140,"{""type"":""Point"",""coordinates"":[110.69244200000001,-7.050322]}"
0_140,4197.5,4236.5,3900.5,4284.5,4749.5,5099.5,5101.0,5136.0,2024-01,Location_141,"{""type"":""Point"",""coordinates"":[110.70916670000001,-7.0841667]}"
0_141,1350.5,1250.0,1194.0,1204.5,1221.0,1274.5,1346.0,1042.5,2024-01,Location_142,"{""type"":""Point"",""coordinates"":[110.70921100000001,7.084239000000001]}"
0_142,4114.0,4081.5,3957.5,4212.5,4671.5,4811.5,4662.0,4861.5,2024-01,Location_143,"{""type"":""Point"",""coordinates"":[110.78773100000001,-7.106405999999999]}"
0_143,3166.0,3180.5,3010.0,3469.5,4236.0,4724.0,4848.0,4447.0,2024-01,Location_144,"{""type"":""Point"",""coordinates"":[110.818383,-7.121342]}"
0_144,4653.5,4658.0,4556.0,5027.5,5535.0,5913.0,5908.5,5718.5,2024-01,Location_145,"{""type"":""Point"",""coordinates"":[110.82790800000001,-7.107953000000001]}"
0_145,5138.0,5082.5,4954.5,5378.5,5822.0,6128.0,6019.5,6121.5,2024-01,Location_146,"{""type"":""Point"",""coordinates"":[110.83319400000002,-7.097431]}"
0_146,3551.0,3192.0,2664.0,3024.0,3578.0,4043.5,4102.0,3915.0,2024-01,Location_147,"{""type"":""Point"",""coordinates"":[110.82517500000002,-7.162905999999999]}"
0_147,3717.5,3375.0,3098.0,3504.0,3961.0,4296.5,4345.0,4391.5,2024-01,Location_148,"{""type"":""Point"",""coordinates"":[110.851381,-7.134478]}"
0_148,3447.0,3492.5,3179.0,3600.0,4230.5,4797.5,4916.5,4692.0,2024-01,Location_149,"{""type"":""Point"",""coordinates"":[110.86912800000002,-7.139614000000001]}"
0_149,3166.0,3180.5,3010.0,3469.5,4236.0,4724.0,4848.0,4447.0,2024-01,Location_150,"{""type"":""Point"",""coordinates"":[110.818383,-7.121342]}"
